# Base de Datos de Estudiantes - Colegio Estatal Santa Barbara
# Formato: Codigo|Nombre|Edad|Grado|Seccion|Promedio|Asistencia(%)|Becado
# =============================================================================

2025077|Ricardo Sánchez Pérez|9|4|C|18.4|72|NO
2025078|Alejandro Reyes Mendoza|9|4|B|16.3|78|NO
2025079|José Quispe Apaza|9|4|B|12|80|NO
2025080|Sergio Ríos Sánchez|9|4|A|13.7|78|NO
2025081|María Huamán Pérez|10|5|D|12.5|80|NO
2025082|Manuel Vásquez Gómez|10|5|B|16.7|98|NO
2025083|Roberto Gutiérrez Gutiérrez|10|5|B|17.4|98|NO
2025084|Juan Mendoza Reyes|10|5|C|14.1|80|NO
2025085|Diego Fernández Reyes|10|5|B|13.8|97|NO
2025086|Diego Rojas Cruz|10|5|D|11.1|98|NO
2025087|Teresa Mamani Castro|10|5|C|11.9|87|NO
2025088|Natalia Quispe Vargas|11|5|D|14|85|NO
2025089|Adriana Herrera Pérez|10|5|A|14.4|96|NO
2025090|Pablo Herrera Fernández|11|5|D|10.3|70|NO
2025091|Adriana García Jiménez|11|5|A|16.9|80|SI
2025092|Rosa Flores Yupanqui|11|5|C|13|77|NO
2025093|Andrea Torres Medina|11|5|A|10.2|80|NO
2025094|Elena Mamani Romero|11|5|C|16.8|90|NO
2025095|Diego Silva Ccoyllo|10|5|B|12.6|94|NO
2025096|Antonio Herrera Vásquez|11|5|A|17|77|SI
2025097|Sofía Ccoyllo Jiménez|10|5|D|10.4|72|NO
2025098|Alejandro Vargas Pérez|10|5|A|10.8|77|NO
2025099|Sofía Castillo Castillo|11|5|D|14.3|72|NO
2025100|Patricia Silva Torres|11|5|D|16.6|85|NO
2025101|Francisco Morales Ríos|11|6|B|14.5|72|NO
2025102|Miguel Yupanqui Morales|12|6|B|11.7|87|NO
2025103|Miguel Gómez Gómez|12|6|A|10.6|85|NO
2025104|Gabriela Ramírez Díaz|11|6|D|11.1|70|NO
2025105|Carmen Díaz Castillo|12|6|A|16.3|86|NO
2025106|Diego Ortiz Rodríguez|11|6|D|15.3|96|NO
2025107|Javier Ccoyllo Torres|12|6|A|10.2|97|NO
2025108|Daniela Herrera Alvarez|12|6|D|18.2|77|SI
2025109|Teresa Mamani Romero|11|6|D|11.4|86|NO
2025110|Gabriela Vásquez García|11|6|A|13.9|86|NO
2025111|Antonio Martínez García|11|6|C|17.1|70|NO
2025112|Daniela Vásquez Villanueva|12|6|D|16|93|NO
2025113|Carmen Torres García|11|6|D|12.8|95|NO
2025114|Sofía Reyes Martínez|11|6|A|12.5|98|NO
2025115|José Ríos Vargas|11|6|C|17.1|97|NO
2025116|Ricardo Herrera Vásquez|11|6|C|11.8|90|NO
2025117|Patricia Herrera Ramírez|12|6|D|13.3|88|NO
2025118|Carlos Ramírez Puma|12|6|D|18.7|86|NO
2025119|Sofía Mendoza Huamán|12|6|C|18.1|100|SI
2025120|Victoria Ríos García|11|6|D|18.4|95|NO
